AU Wind 0-0,1KJfMl6Yr6wArl4o7UtEF27PI87vVHtYNHS8GOrILe0g
AU Wind 1-0,1z9E7BWeh3aYEkv_hXRRPLWpyvKfGc230dXiSQZBcHEo
AU Wind 2-0,10BWqO3iDuXQaPk2b4yGzpdokHZCR4PbeC0oz-Rrvnxw
AU Wind 3-0,15xElkEtSr7395hZq28aPJ4WqdriJ92tc2ede6YjdI6o
AU Wind 4-0,1K0OkldbFCmSxKo_hz_b69M5gpyHU4BdyB3NYZN7cfJQ
AU Wind 5-0,1HuJLAFan25O6WoMN5exdWiOgf9yn5yGjxcdrOaoD680
AU Wind 6-0,1F3oa3v7g-3Yy81Nbxyiv_Oh206t7KuzmDujoVZrDobM
AU Wind 7-0,1fAMB92ZIlTjTPWP4m8Nv3oPDJHc8YLpb3oVCTZIpZCw
AU Wind 8-0,1l2jIOrVYlU-IaatE5gFhK86XnmGtm9ooULnaM79I-ck
AU Wind 9-0,1vMY8vrSsI1cIob8wxPgvvOEe6LWE3V9wjnPzUJykGHg
AU Wind 10-0,1wqvkFmLsDF8OjbQh2nOwtOXFUrZi5fhi6Cj0TbinFWg
AU Wind 11-0,14NGHPhh4kCH1Lw0uHGA92nTfaKf4qHQ5aQYUZqpviII
AU Wind 12-0,1-592t-WpIARiSpl8Jp_qpDyPfJj5OAW5ppXLyEdLg3s
AU Wind 13-0,15vGYM2jMAR8okM7PEVOCnvmx_g8jwDE9LDq7f-J-ih8
AU Wind 14-0,17V6p9sq0Ikk_0dHGmuLM6S1emREbg4LS0pV5Pdt2Jwg
AU Wind 15-0,16Hgi8Yv3c-IBk89xtSkz6Gfw2O5YB9UuwsKEZk-S78A
AU Wind 16-0,1qjSAaFOFx6VmXrFeqNBjeprXO_x0rbkeydVCQ2Z2kFI
AU Wind 17-0,1Pe_phM0xKQe6whLcnOYwiXfHOcrvaiXOHomXYw26wKw
AU Wind 18-0,110nuux5LOCfQ5Ob2QoBc1mjO9LyhhvKHLXYXXKkThU4
AU Wind 19-0,16lHYBwS2NxnH5fl613ulMLb01x3LyIJADBcOn2bpfqc
Solar 1-0,1jNtoMAcv3DjDFATdO1zlhEDBadAkmM-6gqLoKAISP70
Solar 2-0,14qkIAxSf63QwUsbv_mcv94Y_Q8u1o2RcMSpALgThGOM
Solar 3-0,1dquW9klSW-qpssaTEye1EAbmfVxYrnmQy7wv9-Tykf8
Solar 4-0,17-k4F68vl9ianMuEuvz_aorL4a1-1MKyqKWXdq9tJ5c
Solar 5-0,1BrEZg8jLdGTPm_nWbMc9MGQWvlCwwgtgVYeP7AEs0UY
Solar 6-0,14dc5SuCDmilRhY4tFXAmMWyrx-Ad1xujwBN6nqcmtpA
Solar 7-0,183pAyGffO7KmRcCqku1oY5VU9-HAqHBtEL2QmFMyQkU
Solar 8-0,1A2csC8KF4k_pifuJj7C1Vhk--fmhG0io5DCNy1Fx1gI
Solar 9-0,1M-0UimFkPk3fdG2Hc35HLMecsapMX0axZdplvt0hibU
Solar 10-0,1VvJYE1hTuRg8dQ_2Hl3ZMM1YAySq2czjemv6DfQv0J0
Solar 11-0,1MZaLI7aDn5oCjEyREm4tQr05rS1ELR2GZ0xirj6LjkI
Solar 12-0,1TZXgAFztCJriTuzJqFNYIDukFhd1iChSl28JXKKddvE
Solar 13-0,1rqOjsWhL5qCKnfVpg2Iw1_qbuarUppAB9-cxtLZ5kpc
Solar 14-0,1n9NdxpMrBsaQ1nIGefwBhB3uTvetgLauqJxCVTHrd1c
Solar 15-0,1SaXbuywnufvQ_0wNSt5Z5paVFtuf4yLfROdqjccMzfg
Solar 16-0,1AevAvDyhqCbqiOuNBh4qAhTquXhPEPBPRO-YX--ZkBM
Solar 17-0,1sPo5r-mtxqMO_Fjh4glzCfS0p5ousV6sO_e_PkrJIsU
Solar 18-0,1DjNxATWA1-0A68MtFDlpepMUBS3v997Mwx8OjvxpxCk
Solar 19-0,15FSY3XZGjGqMKmcunWwplzpTTU6rsXfcvI3RRReuqWU
AU pumpedhydro,1wZFuwkKy0jHCCYaWFd2V0-IusLIfsWG-1gWZwsC6qlA
